ATLANTIC,CBC,CNN,GLOBE AND MAIL,MASSIVE SCI,NATIONAL GEOGRAPHIC,NATIONAL OBSERVER,NPR,NYT,REUTERS
https://www.theatlantic.com/science/archive/2022/07/woodpeckers-brain-injury-protection-evolutionary-adaptation/670516/,https://www.cbc.ca/radio/quirks/dec-3-growling-bats-seeing-an-exoplanet-s-atmosphere-making-lab-coats-fabulous-and-more-1.6671323/bats-growl-like-death-metal-singers-to-communicate-with-each-other-1.6672050,https://www.cnn.com/2022/11/29/world/bats-death-metal-growls-scn-trnd/index.html,https://www.theglobeandmail.com/business/technology/science/article-map-of-dark-matter-sheds-new-light-on-forces-shaping-the-universe/,https://massivesci.com/articles/soil-runoff-reef-tree-planting/,https://www.nationalgeographic.com/science/article/how-can-you-tell-if-a-photo-is-ai-generated-here-are-some-tips,https://www.nationalobserver.com/2023/03/09/news/light-pollution-upending-natural-world,https://www.npr.org/2022/12/04/1139164875/death-metal-singers-have-a-vocal-counterpart-in-bats,https://www.nytimes.com/2023/05/01/science/ai-speech-language.html,https://www.reuters.com/technology/space/study-details-differences-between-deep-interiors-mars-earth-2023-04-25/
https://www.theatlantic.com/science/archive/2023/05/covid-pandemic-mild-winter-wave-data/673915/,https://www.cbc.ca/radio/quirks/black-holes-jet-stars-1.6825805,https://www.cnn.com/2023/05/01/world/wales-fossil-site-scn/index.html,https://www.theglobeandmail.com/world/article-excessive-heat-from-climate-change-is-key-factor-in-horn-of-africa/,https://massivesci.com/articles/ecofriendly-cremation-burial-eternal-reefs-sustainability-earth-day/,https://www.nationalgeographic.com/science/article/menstrual-cycle-exercise-sync-myth-science,https://www.nationalobserver.com/2023/04/21/analysis/deep-dive-hfcs-one-canadas-fastest-growing-climate-problems,https://www.npr.org/sections/health-shots/2023/05/01/1173045261/a-decoder-that-uses-brain-scans-to-know-what-you-mean-mostly,https://www.nytimes.com/2023/04/28/science/frogs-pollination-fruits.html,https://www.reuters.com/lifestyle/oldest-known-bat-skeletons-shed-light-evolution-flying-mammals-2023-04-13/
https://www.theatlantic.com/science/archive/2023/04/teenage-brain-development-executive-function-impulsive/673905/,https://www.cbc.ca/radio/quirks/europe-s-juice-mission-will-get-us-closer-to-searching-for-life-inside-other-worlds-1.6810509,https://www.cnn.com/2023/05/01/world/roman-coins-buried-treasure-italy-scn/index.html,https://www.theglobeandmail.com/canada/article-nuclear-fusion-breakthrough-us-announcement/,https://massivesci.com/notes/sea-turtle-habitat-us-virgin-islands/,https://www.nationalgeographic.com/science/article/plants-can-talk-yes-really-heres-how,https://www.nationalobserver.com/2023/04/11/investigations/anti-indigenous-racism-health-care,https://www.npr.org/2023/04/21/1171292778/renewable-energy-is-here-but-how-do-we-store-it-for-the-future,https://www.nytimes.com/2023/04/27/science/quaoar-rings-kuiper-belt.html,https://www.reuters.com/lifestyle/science/toothed-whales-sound-production-is-all-nose-2023-03-02/
https://www.theatlantic.com/science/archive/2023/04/volcano-eruptions-kill-fish/673883/,https://www.cbc.ca/radio/quirks/artificial-intelligence-ai-scientist-1.6811085,https://www.cnn.com/2023/04/29/world/ocean-species-science-newsletter-wt-scn/index.html,https://www.theglobeandmail.com/business/article-ai-labs-future-research/,https://massivesci.com/articles/outdoor-green-space-microbiome-benefits-soil-air/,https://www.nationalgeographic.com/science/article/what-is-amber-fossils-science,https://www.nationalobserver.com/2023/04/18/news/deep-sea-mining-could-be-greenlit-summer-despite-unknown-environmental-risks,https://www.npr.org/2023/04/21/1170986221/californias-destructively-wet-winter-has-a-bright-side-youll-want-to-see-it,https://www.nytimes.com/2023/04/25/science/goldfish-brain-computer-navigation.html,https://www.reuters.com/technology/space/new-image-reveals-violent-events-near-supermassive-black-hole-2023-04-26/
https://www.theatlantic.com/science/archive/2023/04/climate-change-kansas-prairie-carbon-dioxide-grasshoppers/673815/,https://www.cbc.ca/radio/quirks/habitable-planet-terminator-zone-twilight-zone-1.6797321,https://www.cnn.com/2023/04/27/asia/elephant-habitat-loss-asia-scn-intl-hnk/index.html,https://www.theglobeandmail.com/canada/article-spiders-are-stuck-in-a-web-of-misinformation-scientists-hope-to-free/,https://massivesci.com/articles/bacterial-soil-crust-first-life-land-evolved/,https://www.nationalgeographic.com/science/article/probiotics-prebiotics-postbiotics-the-difference-microbiome-fermentation-yogurt,https://www.nationalobserver.com/2023/03/21/analysis/paved-greenbelt-kneecap-ontario-economy-food-security-expert-says,https://www.npr.org/2023/04/21/1171110131/gray-hair-stem-cells-reversible,https://www.nytimes.com/2023/04/27/science/moths-to-a-flame-insects-light.html,https://www.reuters.com/science/ambitious-genome-project-shows-how-humans-fit-with-other-mammals-2023-04-27/
https://www.theatlantic.com/science/archive/2023/04/sea-urchin-die-off-source-ciliate/673817/,https://www.cbc.ca/radio/quirks/koala-book-danielle-clode-1.6782271,https://www.cnn.com/2023/04/24/world/aurora-northern-southern-lights-explainer-scn/index.html,https://www.theglobeandmail.com/canada/article-fish-sounds-could-help-scientists-understand-their-ocean-world-2/,https://massivesci.com/articles/soil-wildfires-synthetic-biology/,https://www.nationalgeographic.com/science/article/why-people-love-exercise-microbiome,https://www.nationalobserver.com/2023/02/24/analysis/gasoline-versus-electric-cars-life-cycle-emissions-compared-canada,https://www.npr.org/2023/04/20/1170967518/think-youre-tired-this-animal-goes-for-months-with-only-two-hours-of-sleep-a-day,https://www.nytimes.com/2023/04/28/health/breast-cancer-density.html,https://www.reuters.com/lifestyle/science/you-think-you-need-more-sleep-tell-that-an-elephant-seal-2023-04-21/
https://www.theatlantic.com/science/archive/2023/04/animals-migrating-great-pacific-garbage-patch/673744/,https://www.cbc.ca/radio/quirks/research-earliest-horse-riders-1.6782485,https://www.cnn.com/2023/04/18/world/vikings-greenland-rising-sea-levels-scn/index.html,https://www.theglobeandmail.com/canada/article-scientists-envision-the-school-of-cosmic-future-to-aid-a-planet-on-the/,https://massivesci.com/articles/urban-heating-greening-climate-change-arctic/,https://www.nationalgeographic.com/science/article/asteroids-comets,https://www.nationalobserver.com/2023/05/03/news/new-salmon-canada-east-coast-friend-or-foe,https://www.npr.org/2023/04/19/1170806176/abortion-pill-mifepristone-supreme-court-fda-generic-genbiopro,https://www.nytimes.com/2023/04/27/science/human-dna-genomes.html,https://www.reuters.com/science/good-dog-with-great-genes-1920s-alaska-sled-relay-hero-balto-2023-04-27/
https://www.theatlantic.com/science/archive/2023/04/fish-mirrors-animal-cognition-self-awareness-science/673718/,https://www.cbc.ca/radio/quirks/feb-25-giraffe-romance-co2-record-interruption-stone-age-farmer-violence-and-more-1.6758257/fungi-may-not-zombify-you-but-they-can-be-deadly-pathogens-1.6764657,https://www.cnn.com/2023/04/20/world/sleep-diving-seals-scn/index.html,https://www.theglobeandmail.com/business/industry-news/property-report/article-life-sciences-research-facilities-sprouting-in-vancouvers-south-flatz/,https://massivesci.com/articles/wildfire-boreal-forest-fungal-diversity-climate-change-healthy-soil-ecosystem/,https://www.nationalgeographic.com/science/article/colon-cancer-increasing-young-adults-symptoms,https://www.nationalobserver.com/2023/05/04/news/anishinaabe-artist-reinvents-lounge-chair-place-gathering,https://www.npr.org/2023/04/17/1169844428/this-floating-ocean-garbage-is-home-to-a-surprising-amount-of-life-from-the-coas,https://www.nytimes.com/2023/04/20/science/salamander-dads-cannibals.html,https://www.reuters.com/world/middle-east/dished-up-by-3d-printers-new-kind-fish-fry-2023-05-03/
https://www.theatlantic.com/science/archive/2023/04/lab-mice-rat-rodents-vomit-drug-testing-side-effects/673714/,https://www.cbc.ca/radio/quirks/feb-18-super-size-penguins-planning-a-mission-to-uranus-an-egyptian-embalming-workshop-and-more-1.6751366/fossils-paint-the-picture-of-gorilla-sized-penguins-that-once-roamed-new-zealand-1.6752437,https://www.cnn.com/2023/04/20/world/worms-munchies-study-scn/index.html,https://www.theglobeandmail.com/business/international-business/article-fight-to-curb-food-waste-increasingly-turns-to-science/,https://massivesci.com/articles/tree-frogs-canopy-treetops-rainforest-climate-change/,https://www.nationalgeographic.com/science/article/what-is-the-multiverse,https://www.nationalobserver.com/2023/05/03/news/e-scooters-silent-menace-or-green-godsend,https://www.npr.org/sections/goatsandsoda/2023/04/13/1169662749/why-do-some-people-get-utis-over-and-over-a-new-report-holds-clues,https://www.nytimes.com/2023/04/18/health/covid-diabetes.html,https://www.reuters.com/world/europe/pendant-is-20000-years-old-ancient-dna-shows-who-wore-it-2023-05-03/
https://www.theatlantic.com/science/archive/2023/05/birth-control-vaccine-efficacy-contraceptive-gaps/673927/,https://www.cbc.ca/news/science/edna-vacuum-air-1.6307663,https://www.cnn.com/2023/04/19/world/carnivorous-pitcher-plants-scents-scn/index.html,https://www.theglobeandmail.com/arts/books/article-psychologist-marisa-franco-on-the-science-of-making-and-keeping/,https://massivesci.com/articles/chestnut-tree-genetic-engineering-blight-fungus-resistance/,https://www.nationalgeographic.com/science/article/sundowning-syndrome-symptoms-causes-treatments,https://www.nationalobserver.com/2023/05/04/news/extinct-polynesian-snails-make-triumphant-return-tahiti,https://www.npr.org/sections/money/2023/05/02/1172791281/this-company-adopted-ai-heres-what-happened-to-its-human-workers,https://www.nytimes.com/2023/04/13/climate/flash-drought-warming.html,https://www.reuters.com/science/china-approves-safety-first-gene-edited-crop-2023-05-04/
